time,nagents,#193,#194,#195,#196,#197,#198,#199,#200,#201,#202,#203
0,50,0,0,0,0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 50, ""max_degree"" => 0)",0.23110204081632646,"Dict(:p25 => 10.25, :p75 => 19.0, :p50 => 14.0, :p90 => 23.1, :p99 => 25.0, :p95 => 24.549999999999997)",9.797632143947327,0.0,0.0
1,50,0,0,0,0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 50, ""max_degree"" => 0)",0.26128279883381933,"Dict(:p25 => 8.25, :p75 => 19.75, :p50 => 13.0, :p90 => 23.0, :p99 => 24.509999999999998, :p95 => 23.549999999999997)",20.847962706112217,1.0,0.0
2,49,0,0,1,0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 49, ""max_degree"" => 0)",0.2980290094264766,"Dict(:p25 => 9.0, :p75 => 19.0, :p50 => 12.0, :p90 => 24.0, :p99 => 26.039999999999992, :p95 => 24.0)",8.202061019298974,2.0,0.0
3,47,0,0,3,0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 47, ""max_degree"" => 0)",0.33776157594027145,"Dict(:p25 => 7.5, :p75 => 18.5, :p50 => 11.0, :p90 => 25.0, :p99 => 28.08, :p95 => 26.0)",8.069762456659106,3.0,0.0
4,44,0,0,6,0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 44, ""max_degree"" => 0)",0.3570107858243452,"Dict(:p25 => 6.75, :p75 => 19.25, :p50 => 11.5, :p90 => 27.0, :p99 => 30.14, :p95 => 28.0)",6.025084988588169,4.0,0.0
5,40,0,0,10,0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 40, ""max_degree"" => 0)",0.35233564013840835,"Dict(:p25 => 7.75, :p75 => 20.0, :p50 => 12.5, :p90 => 29.1, :p99 => 31.0, :p95 => 30.049999999999997)",5.636463997861325,5.0,0.0
6,37,0,0,13,0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 37, ""max_degree"" => 0)",0.35619271445358414,"Dict(:p25 => 7.0, :p75 => 21.0, :p50 => 14.0, :p90 => 31.0, :p99 => 33.0, :p95 => 32.2)",12.56873167669108,6.0,0.0
7,35,0,0,15,0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 35, ""max_degree"" => 0)",0.36002960769800163,"Dict(:p25 => 7.0, :p75 => 23.5, :p50 => 16.0, :p90 => 32.6, :p99 => 35.0, :p95 => 34.3)",16.303179917080925,7.0,0.0
8,33,0,0,17,0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 33, ""max_degree"" => 0)",0.3582104832104833,"Dict(:p25 => 7.0, :p75 => 25.0, :p50 => 17.0, :p90 => 34.8, :p99 => 37.0, :p95 => 36.400000000000006)",14.832190725600448,8.0,0.0
9,32,0,0,18,0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 32, ""max_degree"" => 0)",0.3662623355263157,"Dict(:p25 => 6.0, :p75 => 27.75, :p50 => 18.0, :p90 => 37.0, :p99 => 39.0, :p95 => 38.45)",14.641110874111767,9.0,0.0
