time,id,pos,sugar,age,vision,metabolism,sex,culture,children,has_reproduced,has_spread_culture,has_accepted_culture,total_inheritance_received,last_partner_id,last_credit_partner,chose_not_to_spread_culture,schwartz_values
0,1,"(2, 21)",9.0,0,6,2,male,"Bool[0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1]",Int64[],false,false,false,0.0,Int64[],Int64[],false,"(self_direction = 1.16f0, stimulation = -2.09f0, hedonism = 0.27f0, achievement = 0.55f0, power = -0.36f0, security = 0.92f0, conformity = -0.56f0, tradition = 0.1f0, benevolence = 0.23f0, universalism = -0.21f0)"
0,2,"(10, 47)",6.0,0,6,1,male,"Bool[0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1]",Int64[],false,false,false,0.0,Int64[],Int64[],false,"(self_direction = 0.38f0, stimulation = 0.45f0, hedonism = 0.08f0, achievement = -1.25f0, power = -1.74f0, security = -0.14f0, conformity = 0.3f0, tradition = 0.37f0, benevolence = 0.44f0, universalism = 1.11f0)"
0,3,"(30, 6)",14.0,0,1,4,female,"Bool[0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1]",Int64[],false,false,false,0.0,Int64[],Int64[],false,"(self_direction = 0.95f0, stimulation = 0.6f0, hedonism = -1.66f0, achievement = 1.32f0, power = -0.3f0, security = 0.34f0, conformity = -0.03f0, tradition = -1.02f0, benevolence = 0.08f0, universalism = -0.29f0)"
0,4,"(9, 13)",16.0,0,6,2,male,"Bool[1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0]",Int64[],false,false,false,0.0,Int64[],Int64[],false,"(self_direction = 1.66f0, stimulation = -1.67f0, hedonism = 0.39f0, achievement = -0.89f0, power = 0.35f0, security = 1.23f0, conformity = -0.74f0, tradition = -0.95f0, benevolence = -0.1f0, universalism = 0.7f0)"
0,5,"(3, 34)",22.0,0,6,1,female,"Bool[1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0]",Int64[],false,false,false,0.0,Int64[],Int64[],false,"(self_direction = 0.31f0, stimulation = -3.08f0, hedonism = -3.72f0, achievement = -0.52f0, power = -0.25f0, security = 2.02f0, conformity = 1.42f0, tradition = 1.47f0, benevolence = 0.69f0, universalism = 1.66f0)"
0,6,"(26, 27)",11.0,0,3,2,female,"Bool[0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0]",Int64[],false,false,false,0.0,Int64[],Int64[],false,"(self_direction = 1.27f0, stimulation = 0.21f0, hedonism = -0.4f0, achievement = 0.1f0, power = -2.27f0, security = -1.01f0, conformity = -0.97f0, tradition = -0.41f0, benevolence = 2.26f0, universalism = 1.21f0)"
0,7,"(9, 40)",8.0,0,1,1,male,"Bool[1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0]",Int64[],false,false,false,0.0,Int64[],Int64[],false,"(self_direction = 1.65f0, stimulation = -0.97f0, hedonism = 0.19f0, achievement = -1.36f0, power = -1.96f0, security = -0.54f0, conformity = -0.47f0, tradition = 0.93f0, benevolence = 0.52f0, universalism = 2.01f0)"
0,8,"(33, 22)",15.0,0,4,3,male,"Bool[1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1]",Int64[],false,false,false,0.0,Int64[],Int64[],false,"(self_direction = 0.35f0, stimulation = -0.08f0, hedonism = -1.57f0, achievement = 0.95f0, power = 0.52f0, security = -0.17f0, conformity = -0.84f0, tradition = -0.62f0, benevolence = 0.66f0, universalism = 0.8f0)"
0,9,"(13, 19)",13.0,0,2,4,male,"Bool[0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1]",Int64[],false,false,false,0.0,Int64[],Int64[],false,"(self_direction = -0.94f0, stimulation = -0.1f0, hedonism = 0.62f0, achievement = 0.38f0, power = -1.81f0, security = 0.85f0, conformity = 0.45f0, tradition = 0.55f0, benevolence = 0.05f0, universalism = -0.04f0)"
0,10,"(39, 45)",14.0,0,6,1,male,"Bool[0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0]",Int64[],false,false,false,0.0,Int64[],Int64[],false,"(self_direction = -0.35f0, stimulation = 0.87f0, hedonism = 0.78f0, achievement = 1.26f0, power = 0.56f0, security = -0.67f0, conformity = -1.71f0, tradition = -0.97f0, benevolence = -0.17f0, universalism = 0.39f0)"
0,11,"(35, 1)",8.0,0,2,2,male,"Bool[1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0]",Int64[],false,false,false,0.0,Int64[],Int64[],false,"(self_direction = 1.59f0, stimulation = 1.25f0, hedonism = 0.98f0, achievement = 0.63f0, power = -1.28f0, security = -0.1f0, conformity = -2.27f0, tradition = -0.77f0, benevolence = 0.34f0, universalism = -0.38f0)"
0,12,"(21, 9)",8.0,0,6,2,male,"Bool[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1]",Int64[],false,false,false,0.0,Int64[],Int64[],false,"(self_direction = 0.56f0, stimulation = 1.67f0, hedonism = 0.53f0, achievement = -1.05f0, power = -1.45f0, security = -1.69f0, conformity = -0.7f0, tradition = 1.04f0, benevolence = 0.28f0, universalism = 0.82f0)"
0,13,"(17, 26)",14.0,0,6,4,male,"Bool[0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0]",Int64[],false,false,false,0.0,Int64[],Int64[],false,"(self_direction = 0.75f0, stimulation = -1.31f0, hedonism = -0.02f0, achievement = -0.62f0, power = -1.33f0, security = 0.29f0, conformity = 0.08f0, tradition = 0.3f0, benevolence = 0.81f0, universalism = 1.04f0)"
0,14,"(13, 40)",10.0,0,2,2,male,"Bool[0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1]",Int64[],false,false,false,0.0,Int64[],Int64[],false,"(self_direction = -0.47f0, stimulation = 0.01f0, hedonism = 0.05f0, achievement = -0.88f0, power = -0.94f0, security = 0.42f0, conformity = -0.07f0, tradition = 0.24f0, benevolence = 0.91f0, universalism = 0.73f0)"
0,15,"(28, 20)",5.0,0,4,2,female,"Bool[1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1]",Int64[],false,false,false,0.0,Int64[],Int64[],false,"(self_direction = 0.03f0, stimulation = -0.68f0, hedonism = -0.84f0, achievement = 0.32f0, power = -1.6f0, security = 1.11f0, conformity = 0.03f0, tradition = 0.81f0, benevolence = 0.28f0, universalism = 0.54f0)"
0,16,"(38, 38)",11.0,0,6,3,female,"Bool[1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1]",Int64[],false,false,false,0.0,Int64[],Int64[],false,"(self_direction = -0.01f0, stimulation = -0.44f0, hedonism = -1.28f0, achievement = 0.43f0, power = -2.05f0, security = 1.08f0, conformity = -0.04f0, tradition = -0.12f0, benevolence = 1.42f0, universalism = 1.0f0)"
0,17,"(13, 44)",22.0,0,1,2,male,"Bool[1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0]",Int64[],false,false,false,0.0,Int64[],Int64[],false,"(self_direction = 0.17f0, stimulation = -0.45f0, hedonism = -0.26f0, achievement = -0.19f0, power = 0.11f0, security = 0.26f0, conformity = 0.97f0, tradition = -0.68f0, benevolence = -0.06f0, universalism = 0.13f0)"
0,18,"(50, 21)",11.0,0,5,4,female,"Bool[1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1]",Int64[],false,false,false,0.0,Int64[],Int64[],false,"(self_direction = 0.78f0, stimulation = -1.63f0, hedonism = 0.49f0, achievement = 0.25f0, power = -0.04f0, security = -0.49f0, conformity = -0.1f0, tradition = 0.05f0, benevolence = 0.24f0, universalism = 0.45f0)"
0,19,"(48, 27)",22.0,0,4,2,female,"Bool[0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1]",Int64[],false,false,false,0.0,Int64[],Int64[],false,"(self_direction = 0.89f0, stimulation = -1.61f0, hedonism = -0.13f0, achievement = -0.57f0, power = 0.63f0, security = -1.08f0, conformity = 0.49f0, tradition = -0.28f0, benevolence = 0.88f0, universalism = 0.77f0)"
0,20,"(13, 9)",14.0,0,4,1,male,"Bool[0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0]",Int64[],false,false,false,0.0,Int64[],Int64[],false,"(self_direction = 1.27f0, stimulation = -0.46f0, hedonism = -0.18f0, achievement = 0.28f0, power = -1.85f0, security = 0.06f0, conformity = -1.05f0, tradition = 0.26f0, benevolence = 0.82f0, universalism = 0.86f0)"
0,21,"(6, 20)",24.0,0,4,1,female,"Bool[1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0]",Int64[],false,false,false,0.0,Int64[],Int64[],false,"(self_direction = -0.1f0, stimulation = 0.0f0, hedonism = 1.12f0, achievement = -1.19f0, power = -1.03f0, security = -0.47f0, conformity = -0.06f0, tradition = 0.03f0, benevolence = 0.69f0, universalism = 1.0f0)"
0,22,"(20, 18)",25.0,0,1,3,male,"Bool[1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1]",Int64[],false,false,false,0.0,Int64[],Int64[],false,"(self_direction = 0.05f0, stimulation = 0.27f0, hedonism = 0.39f0, achievement = -0.28f0, power = -0.31f0, security = -0.71f0, conformity = -1.56f0, tradition = 0.9f0, benevolence = 0.08f0, universalism = 1.17f0)"
0,23,"(31, 2)",23.0,0,2,1,male,"Bool[1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0]",Int64[],false,false,false,0.0,Int64[],Int64[],false,"(self_direction = 0.29f0, stimulation = -0.65f0, hedonism = -1.18f0, achievement = -0.62f0, power = -1.73f0, security = 0.75f0, conformity = -0.86f0, tradition = 0.53f0, benevolence = 1.76f0, universalism = 1.72f0)"
0,24,"(12, 50)",14.0,0,6,2,female,"Bool[1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1]",Int64[],false,false,false,0.0,Int64[],Int64[],false,"(self_direction = 1.22f0, stimulation = -1.57f0, hedonism = -1.05f0, achievement = -1.02f0, power = -0.09f0, security = 0.24f0, conformity = -0.35f0, tradition = 1.16f0, benevolence = 0.09f0, universalism = 1.38f0)"
0,25,"(10, 9)",18.0,0,2,3,female,"Bool[1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0]",Int64[],false,false,false,0.0,Int64[],Int64[],false,"(self_direction = 1.26f0, stimulation = -0.16f0, hedonism = -1.31f0, achievement = -1.53f0, power = -2.31f0, security = 1.31f0, conformity = 1.03f0, tradition = 0.21f0, benevolence = 1.12f0, universalism = 0.39f0)"
0,26,"(44, 18)",19.0,0,2,3,female,"Bool[1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1]",Int64[],false,false,false,0.0,Int64[],Int64[],false,"(self_direction = 0.29f0, stimulation = -0.18f0, hedonism = -0.92f0, achievement = -0.24f0, power = 0.3f0, security = 1.0f0, conformity = -0.05f0, tradition = -0.41f0, benevolence = 0.04f0, universalism = 0.18f0)"
0,27,"(37, 1)",25.0,0,1,3,male,"Bool[0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1]",Int64[],false,false,false,0.0,Int64[],Int64[],false,"(self_direction = 0.38f0, stimulation = -0.82f0, hedonism = 1.25f0, achievement = -1.02f0, power = -0.36f0, security = 0.36f0, conformity = -1.86f0, tradition = 1.03f0, benevolence = 0.91f0, universalism = 0.14f0)"
0,28,"(26, 19)",5.0,0,2,4,male,"Bool[0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1]",Int64[],false,false,false,0.0,Int64[],Int64[],false,"(self_direction = 0.52f0, stimulation = 0.28f0, hedonism = -1.88f0, achievement = -0.52f0, power = -1.69f0, security = 0.69f0, conformity = 0.27f0, tradition = 0.5f0, benevolence = 1.28f0, universalism = 0.54f0)"
