time,nagents,#215,#216,#217,#218,#219,#220,#221,#222,#223,#224,#225,#226,#227
0,50,3.884297118205747,"Dict{String, Real}(""unique_cultures"" => 49, ""max_possible"" => 2048, ""diversity_ratio"" => 0.02392578125)",0.0,0.0,"Dict(:p25 => 10.25, :p75 => 19.0, :p50 => 14.0, :p90 => 23.1, :p99 => 25.0, :p95 => 24.549999999999997)",9.797632143947327,0,0,"Dict{String, Real}(""red_transmission_rate"" => 0.0, ""blue_transmission_rate"" => 0.0, ""blue_initiated_transmissions"" => 0, ""red_initiated_transmissions"" => 0, ""total_transmissions"" => 0)",0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 50, ""max_degree"" => 0)",0.23110204081632646
1,50,3.884297118205747,"Dict{String, Real}(""unique_cultures"" => 49, ""max_possible"" => 2048, ""diversity_ratio"" => 0.02392578125)",0.0,0.0,"Dict(:p25 => 8.25, :p75 => 19.75, :p50 => 13.0, :p90 => 23.0, :p99 => 24.509999999999998, :p95 => 23.549999999999997)",20.847962706112217,0,0,"Dict{String, Real}(""red_transmission_rate"" => 0.3333333333333333, ""blue_transmission_rate"" => 0.6666666666666666, ""blue_initiated_transmissions"" => 2, ""red_initiated_transmissions"" => 1, ""total_transmissions"" => 3)",0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 50, ""max_degree"" => 0)",0.2600580551523948
2,50,3.884297118205747,"Dict{String, Real}(""unique_cultures"" => 49, ""max_possible"" => 2048, ""diversity_ratio"" => 0.02392578125)",0.0,0.0,"Dict(:p25 => 8.25, :p75 => 18.75, :p50 => 12.0, :p90 => 24.0, :p99 => 26.019999999999996, :p95 => 24.549999999999997)",8.786518726837343,0,1,"Dict{String, Real}(""red_transmission_rate"" => 0.25, ""blue_transmission_rate"" => 0.75, ""blue_initiated_transmissions"" => 6, ""red_initiated_transmissions"" => 2, ""total_transmissions"" => 8)",0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 50, ""max_degree"" => 0)",0.2948484848484849
3,50,3.884297118205747,"Dict{String, Real}(""unique_cultures"" => 49, ""max_possible"" => 2048, ""diversity_ratio"" => 0.02392578125)",0.0,0.0,"Dict(:p25 => 7.25, :p75 => 19.0, :p50 => 11.0, :p90 => 25.0, :p99 => 28.509999999999998, :p95 => 26.549999999999997)",6.21866346662325,0,3,"Dict{String, Real}(""red_transmission_rate"" => 0.3333333333333333, ""blue_transmission_rate"" => 0.6666666666666666, ""blue_initiated_transmissions"" => 2, ""red_initiated_transmissions"" => 1, ""total_transmissions"" => 3)",0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 50, ""max_degree"" => 0)",0.33063829787234034
4,50,3.8842971182057475,"Dict{String, Real}(""unique_cultures"" => 49, ""max_possible"" => 2048, ""diversity_ratio"" => 0.02392578125)",0.0,0.0,"Dict(:p25 => 7.25, :p75 => 20.0, :p50 => 12.0, :p90 => 26.1, :p99 => 31.0, :p95 => 28.549999999999997)",4.713275107798518,0,6,"Dict{String, Real}(""red_transmission_rate"" => 0.3333333333333333, ""blue_transmission_rate"" => 0.6666666666666666, ""blue_initiated_transmissions"" => 4, ""red_initiated_transmissions"" => 2, ""total_transmissions"" => 6)",0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 50, ""max_degree"" => 0)",0.34643067846607667
5,50,3.912023005428145,"Dict{String, Real}(""unique_cultures"" => 50, ""max_possible"" => 2048, ""diversity_ratio"" => 0.0244140625)",0.0,0.0,"Dict(:p25 => 7.25, :p75 => 20.75, :p50 => 12.0, :p90 => 28.1, :p99 => 33.51, :p95 => 30.549999999999997)",5.025000392683324,0,10,"Dict{String, Real}(""red_transmission_rate"" => 0.6363636363636364, ""blue_transmission_rate"" => 0.36363636363636365, ""blue_initiated_transmissions"" => 4, ""red_initiated_transmissions"" => 7, ""total_transmissions"" => 11)",0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 50, ""max_degree"" => 0)",0.34571428571428564
6,50,3.912023005428145,"Dict{String, Real}(""unique_cultures"" => 50, ""max_possible"" => 2048, ""diversity_ratio"" => 0.0244140625)",0.0,0.0,"Dict(:p25 => 8.0, :p75 => 22.0, :p50 => 12.5, :p90 => 31.0, :p99 => 36.019999999999996, :p95 => 32.55)",5.447280871772577,0,13,"Dict{String, Real}(""red_transmission_rate"" => 0.375, ""blue_transmission_rate"" => 0.625, ""blue_initiated_transmissions"" => 5, ""red_initiated_transmissions"" => 3, ""total_transmissions"" => 8)",0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 50, ""max_degree"" => 0)",0.34671874999999996
7,50,3.8565712309833495,"Dict{String, Real}(""unique_cultures"" => 48, ""max_possible"" => 2048, ""diversity_ratio"" => 0.0234375)",0.0,0.0,"Dict(:p25 => 7.25, :p75 => 22.75, :p50 => 13.0, :p90 => 33.1, :p99 => 38.529999999999994, :p95 => 34.55)",4.815001844119124,0,14,"Dict{String, Real}(""red_transmission_rate"" => 0.4666666666666667, ""blue_transmission_rate"" => 0.5333333333333333, ""blue_initiated_transmissions"" => 8, ""red_initiated_transmissions"" => 7, ""total_transmissions"" => 15)",0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 50, ""max_degree"" => 0)",0.3653450439146799
8,50,3.8842971182057475,"Dict{String, Real}(""unique_cultures"" => 49, ""max_possible"" => 2048, ""diversity_ratio"" => 0.02392578125)",0.0,0.0,"Dict(:p25 => 7.25, :p75 => 24.0, :p50 => 15.5, :p90 => 34.1, :p99 => 41.03999999999999, :p95 => 37.0)",6.153376151505532,0,16,"Dict{String, Real}(""red_transmission_rate"" => 0.375, ""blue_transmission_rate"" => 0.625, ""blue_initiated_transmissions"" => 10, ""red_initiated_transmissions"" => 6, ""total_transmissions"" => 16)",0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 50, ""max_degree"" => 0)",0.36866510538641695
9,50,3.8565712309833495,"Dict{String, Real}(""unique_cultures"" => 48, ""max_possible"" => 2048, ""diversity_ratio"" => 0.0234375)",0.0,0.0,"Dict(:p25 => 6.25, :p75 => 25.75, :p50 => 16.5, :p90 => 35.1, :p99 => 43.54999999999999, :p95 => 39.0)",6.963646570251418,0,18,"Dict{String, Real}(""red_transmission_rate"" => 0.2222222222222222, ""blue_transmission_rate"" => 0.7777777777777778, ""blue_initiated_transmissions"" => 14, ""red_initiated_transmissions"" => 4, ""total_transmissions"" => 18)",0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 50, ""max_degree"" => 0)",0.37135498320268745
