time,nagents,#215,#216,#217,#218,#219,#220,#221,#222,#223,#224,#225,#226,#227
0,50,3.884297118205747,"Dict{String, Real}(""unique_cultures"" => 49, ""max_possible"" => 2048, ""diversity_ratio"" => 0.02392578125)",0.0,0.0,"Dict(:p25 => 10.25, :p75 => 19.0, :p50 => 14.0, :p90 => 23.1, :p99 => 25.0, :p95 => 24.549999999999997)",9.797632143947327,0,0,"Dict{String, Real}(""red_transmission_rate"" => 0.0, ""blue_transmission_rate"" => 0.0, ""blue_initiated_transmissions"" => 0, ""red_initiated_transmissions"" => 0, ""total_transmissions"" => 0)",0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 50, ""max_degree"" => 0)",0.23110204081632646
1,50,3.884297118205747,"Dict{String, Real}(""unique_cultures"" => 49, ""max_possible"" => 2048, ""diversity_ratio"" => 0.02392578125)",0.0,0.0,"Dict(:p25 => 8.25, :p75 => 19.75, :p50 => 13.0, :p90 => 23.0, :p99 => 24.509999999999998, :p95 => 23.0)",25.467857350961356,0,0,"Dict{String, Real}(""red_transmission_rate"" => 1.0, ""blue_transmission_rate"" => 0.0, ""blue_initiated_transmissions"" => 0, ""red_initiated_transmissions"" => 1, ""total_transmissions"" => 1)",0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 50, ""max_degree"" => 0)",0.2610510948905109
2,50,3.884297118205747,"Dict{String, Real}(""unique_cultures"" => 49, ""max_possible"" => 2048, ""diversity_ratio"" => 0.02392578125)",0.0,0.0,"Dict(:p25 => 8.0, :p75 => 18.75, :p50 => 12.0, :p90 => 23.0, :p99 => 25.529999999999994, :p95 => 24.0)",10.788741200438297,0,1,"Dict{String, Real}(""red_transmission_rate"" => 0.6666666666666666, ""blue_transmission_rate"" => 0.3333333333333333, ""blue_initiated_transmissions"" => 1, ""red_initiated_transmissions"" => 2, ""total_transmissions"" => 3)",0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 50, ""max_degree"" => 0)",0.30018547140649154
3,50,3.884297118205747,"Dict{String, Real}(""unique_cultures"" => 49, ""max_possible"" => 2048, ""diversity_ratio"" => 0.02392578125)",0.0,0.0,"Dict(:p25 => 7.25, :p75 => 18.75, :p50 => 11.0, :p90 => 23.1, :p99 => 27.529999999999994, :p95 => 26.0)",7.532622407904838,0,4,"Dict{String, Real}(""red_transmission_rate"" => 1.0, ""blue_transmission_rate"" => 0.0, ""blue_initiated_transmissions"" => 0, ""red_initiated_transmissions"" => 3, ""total_transmissions"" => 3)",0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 50, ""max_degree"" => 0)",0.32171253822629975
4,50,3.912023005428145,"Dict{String, Real}(""unique_cultures"" => 50, ""max_possible"" => 2048, ""diversity_ratio"" => 0.0244140625)",0.0,0.0,"Dict(:p25 => 7.0, :p75 => 20.0, :p50 => 11.5, :p90 => 25.0, :p99 => 29.529999999999994, :p95 => 28.0)",5.465432604881165,0,7,"Dict{String, Real}(""red_transmission_rate"" => 0.5, ""blue_transmission_rate"" => 0.5, ""blue_initiated_transmissions"" => 4, ""red_initiated_transmissions"" => 4, ""total_transmissions"" => 8)",0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 50, ""max_degree"" => 0)",0.3447488584474885
5,50,3.884297118205747,"Dict{String, Real}(""unique_cultures"" => 49, ""max_possible"" => 2048, ""diversity_ratio"" => 0.02392578125)",0.0,0.0,"Dict(:p25 => 6.25, :p75 => 20.75, :p50 => 11.5, :p90 => 25.1, :p99 => 32.019999999999996, :p95 => 30.0)",8.76010437464386,0,11,"Dict{String, Real}(""red_transmission_rate"" => 0.0, ""blue_transmission_rate"" => 1.0, ""blue_initiated_transmissions"" => 4, ""red_initiated_transmissions"" => 0, ""total_transmissions"" => 4)",0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 50, ""max_degree"" => 0)",0.3502608695652174
6,50,3.884297118205747,"Dict{String, Real}(""unique_cultures"" => 49, ""max_possible"" => 2048, ""diversity_ratio"" => 0.02392578125)",0.0,0.0,"Dict(:p25 => 8.0, :p75 => 22.0, :p50 => 11.5, :p90 => 26.1, :p99 => 34.529999999999994, :p95 => 32.0)",6.174460450605707,0,14,"Dict{String, Real}(""red_transmission_rate"" => 0.25, ""blue_transmission_rate"" => 0.75, ""blue_initiated_transmissions"" => 6, ""red_initiated_transmissions"" => 2, ""total_transmissions"" => 8)",0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 50, ""max_degree"" => 0)",0.35080932784636487
7,50,3.884297118205747,"Dict{String, Real}(""unique_cultures"" => 49, ""max_possible"" => 2048, ""diversity_ratio"" => 0.02392578125)",0.0,0.0,"Dict(:p25 => 7.25, :p75 => 23.0, :p50 => 11.0, :p90 => 28.1, :p99 => 37.529999999999994, :p95 => 33.55)",5.637435545174144,0,16,"Dict{String, Real}(""red_transmission_rate"" => 0.3333333333333333, ""blue_transmission_rate"" => 0.6666666666666666, ""blue_initiated_transmissions"" => 4, ""red_initiated_transmissions"" => 2, ""total_transmissions"" => 6)",0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 50, ""max_degree"" => 0)",0.3592207792207791
8,50,3.884297118205747,"Dict{String, Real}(""unique_cultures"" => 49, ""max_possible"" => 2048, ""diversity_ratio"" => 0.02392578125)",0.0,0.0,"Dict(:p25 => 7.0, :p75 => 25.0, :p50 => 14.0, :p90 => 30.1, :p99 => 40.03999999999999, :p95 => 35.099999999999994)",6.322446242734717,0,19,"Dict{String, Real}(""red_transmission_rate"" => 0.5714285714285714, ""blue_transmission_rate"" => 0.42857142857142855, ""blue_initiated_transmissions"" => 3, ""red_initiated_transmissions"" => 4, ""total_transmissions"" => 7)",0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 50, ""max_degree"" => 0)",0.35238554216867457
9,50,3.884297118205747,"Dict{String, Real}(""unique_cultures"" => 49, ""max_possible"" => 2048, ""diversity_ratio"" => 0.02392578125)",0.0,0.0,"Dict(:p25 => 6.5, :p75 => 26.0, :p50 => 15.0, :p90 => 32.1, :p99 => 42.54999999999999, :p95 => 37.099999999999994)",5.3799871238616355,0,20,"Dict{String, Real}(""red_transmission_rate"" => 0.6666666666666666, ""blue_transmission_rate"" => 0.3333333333333333, ""blue_initiated_transmissions"" => 3, ""red_initiated_transmissions"" => 6, ""total_transmissions"" => 9)",0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 50, ""max_degree"" => 0)",0.3636004645760744
10,50,3.912023005428145,"Dict{String, Real}(""unique_cultures"" => 50, ""max_possible"" => 2048, ""diversity_ratio"" => 0.0244140625)",0.0,0.0,"Dict(:p25 => 5.5, :p75 => 26.0, :p50 => 15.0, :p90 => 34.1, :p99 => 45.03999999999999, :p95 => 38.64999999999999)",5.623323147343145,0,20,"Dict{String, Real}(""red_transmission_rate"" => 0.3076923076923077, ""blue_transmission_rate"" => 0.6923076923076923, ""blue_initiated_transmissions"" => 9, ""red_initiated_transmissions"" => 4, ""total_transmissions"" => 13)",0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 50, ""max_degree"" => 0)",0.38828375286041195
11,50,3.8842971182057475,"Dict{String, Real}(""unique_cultures"" => 49, ""max_possible"" => 2048, ""diversity_ratio"" => 0.02392578125)",0.0,0.0,"Dict(:p25 => 9.0, :p75 => 26.75, :p50 => 15.0, :p90 => 36.1, :p99 => 48.03999999999999, :p95 => 40.19999999999999)",5.698090459883051,0,22,"Dict{String, Real}(""red_transmission_rate"" => 0.0, ""blue_transmission_rate"" => 1.0, ""blue_initiated_transmissions"" => 6, ""red_initiated_transmissions"" => 0, ""total_transmissions"" => 6)",0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 50, ""max_degree"" => 0)",0.38555314533622553
